X_pct,Y_pct,XIRR_pct,CAGR_pct,TotalReturn_pct,NumTrades,OpenPositions,WinRate_pct,AvgHoldingDays,MaxDrawdown_INR,MaxCapitalDeployed_INR,GrossInvested_INR,GrossReturned_INR,TerminalMTM_INR,NetPnL_INR
17.0,11.0,24.698830578980616,28.871299408687424,118.70932681165289,345,23,95.38043478260869,180.18840579710144,-136662.32432729163,340935.46608752676,3680000.0,4084722.196654674,202631.28077254785,404722.19665467413
17.0,12.0,24.04547264047961,28.016114963412498,119.52821079419135,321,24,95.07246376811594,198.37383177570092,-139003.72744273167,343983.1112006516,3450000.0,3861156.8582523325,213108.97954254205,411156.85825233255
17.0,13.0,24.484446336324726,27.934605181462647,126.25348281256046,310,25,94.92537313432837,210.38387096774193,-138520.9477566593,338639.30251596327,3350000.0,3777543.9135985663,223563.49054926712,427543.9135985663
17.0,14.0,24.41744233533452,27.517236508410804,130.11257476314654,294,26,94.375,227.50340136054422,-139415.8582585374,336746.03344942385,3200000.0,3638148.934533812,233648.15383090908,438148.9345338121
17.0,15.0,24.507839232873327,27.27704449729376,133.9898180070665,282,27,94.1747572815534,244.35106382978722,-140533.32024922813,333464.99084440526,3090000.0,3536809.1343496996,244383.40855367322,446809.1343496996
17.0,16.0,23.096503982897882,26.306583712087985,130.27332824177878,263,27,93.79310344827586,265.9847908745247,-140110.18206591168,339667.73491905455,2900000.0,3342496.463242515,244394.95921994522,442496.463242515
17.0,17.0,22.72713354669718,25.979924306891288,131.98441083399013,251,29,93.57142857142857,282.0717131474104,-140117.7554921959,338397.63968081167,2800000.0,3246632.131008848,266441.7117776979,446632.1310088481
17.0,18.0,22.187516936488226,25.525394475376316,132.20327082853333,239,29,93.28358208955224,303.89121338912133,-142211.59180824165,337594.28250605986,2680000.0,3126310.6836031303,266441.7117776979,446310.6836031303
17.0,19.0,22.17319246225703,25.44195228147983,136.26013576354345,232,31,93.15589353612167,319.29741379310343,-141976.3656611356,335550.750153939,2630000.0,3087221.9077153457,288990.6113564194,457221.90771534573
17.0,20.0,21.944067294190194,25.20856173094539,138.2372022608534,222,34,92.96875,338.15765765765764,-143012.0748299825,334559.16785566043,2560000.0,3022485.2335508573,322211.15578726283,462485.2335508573
18.0,10.0,26.503996921622498,29.31449709400631,114.55181969203556,353,22,95.46666666666667,161.41926345609065,-133526.7551825898,333482.6763982651,3750000.0,4132010.474171915,194780.27854681425,382010.4741719151
18.0,11.0,26.30540023799897,28.34696886729773,114.7240517939047,331,22,95.18413597733712,175.86706948640483,-135148.53133153866,340573.2108490113,3530000.0,3920719.386810584,194810.08782138812,390719.386810584
18.0,12.0,25.595698555368312,27.585847859510217,115.1042527074733,306,24,94.84848484848484,195.33986928104576,-136010.71656305867,339861.3693935915,3300000.0,3691194.889481879,215953.05636613353,391194.88948187884
18.0,13.0,25.869272338722602,27.38743829019348,121.26154714508289,294,25,94.67084639498434,208.96938775510205,-136002.25963349288,336354.78416059446,3190000.0,3597869.015169641,226407.5673728586,407869.015169641
18.0,14.0,25.741986777926485,27.040542475661077,125.29541272523103,280,25,94.09836065573771,222.96785714285716,-137190.67239248237,332900.43317927734,3050000.0,3467108.9717160575,226747.85957959914,417108.9717160575
18.0,15.0,26.622217108993475,27.14362146560001,133.35916916031488,274,26,94.0,233.31386861313868,-138449.7112316906,327357.5494244625,3000000.0,3436561.3080960303,237595.6365200664,436561.30809603026
18.0,16.0,25.538674611785666,26.534813785972933,132.9249021687858,259,27,93.7062937062937,249.62548262548262,-138153.00413727394,329238.28901673754,2860000.0,3297639.6735776826,247892.45150110425,437639.6735776826
